Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,
Definition,0,file_id,serial_number,1,,time_created,1,,manufacturer,1,,product,1,,number,1,,unknown,1,,type,1,,
Data,0,file_id,serial_number,"3336813752",,time_created,"984761640",,manufacturer,"1",,garmin_product,"2158",,number,"10",,type,"32",,,,,
Definition,1,device_info,timestamp,1,,serial_number,1,,manufacturer,1,,product,1,,software_version,1,,,,,,,,
Data,1,device_info,timestamp,"984761640",s,serial_number,"3336813752",,manufacturer,"1",,garmin_product,"2158",,software_version,"9.8",,,,,,,,
Definition,2,software,version,1,,,,,,,,,,,,,,,,,,,,
Data,2,software,version,"3.0",,,,,,,,,,,,,,,,,,,,
Definition,3,monitoring_info,timestamp,1,,local_timestamp,1,,cycles_to_distance,2,,cycles_to_calories,2,,unknown,2,,resting_metabolic_rate,1,,activity_type,2,,unknown,1,,
Data,3,monitoring_info,timestamp,"984761640",s,local_timestamp,"984761640",s,cycles_to_distance,"1.7744|2.6616",m/cycle,cycles_to_calories,"0.0618|0.1948",kcal/cycle,unknown,"4752|4752",,resting_metabolic_rate,"2387",kcal / day,activity_type,"6|1",,,,,
Definition,4,monitoring,timestamp,1,,distance,1,,cycles,1,,active_time,1,,active_calories,1,,duration_min,1,,activity_type,1,,,,,
Data,4,monitoring,timestamp,"984761640",s,distance,"0.0",m,cycles,"0.0",cycles,active_time,"1659.0",s,active_calories,"127",kcal,duration_min,"1014",min,activity_type,"0",,,,,
Data,4,monitoring,timestamp,"984761640",s,distance,"2624.34",m,steps,"2958",steps,active_time,"4650.0",s,active_calories,"239",kcal,duration_min,"1014",min,activity_type,"6",,,,,
Data,4,monitoring,timestamp,"984761640",s,distance,"107.79",m,steps,"81",steps,active_time,"60.0",s,active_calories,"2",kcal,duration_min,"1014",min,activity_type,"1",,,,,
Definition,5,monitoring,timestamp,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp,"984761640",s,unknown,"20",,unknown,"21",,,,,,,,,,,,,,,,,
Definition,6,unknown,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"984761640",,unknown,"58",,unknown,"56",,,,,,,,,,,,,,,,,
Definition,7,unknown,unknown,17,,,,,,,,,,,,,,,,,,,,,,,
Data,7,unknown,unknown,"41|69|178|58|3|0|223|11|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Definition,0,monitoring,timestamp_16,1,,heart_rate,1,,,,,,,,,,,,,,,,,,,,
Data,0,monitoring,timestamp_16,"17764",s,heart_rate,"125",bpm,,,,,,,,,,,,,,,,,,,
Data,0,monitoring,timestamp_16,"17824",s,heart_rate,"117",bpm,,,,,,,,,,,,,,,,,,,
Definition,1,monitoring,cycles,1,,active_time,1,,active_calories,1,,timestamp_16,1,,current_activity_type_intensity,1,,,,,,,,,,,
Data,1,monitoring,steps,"3015",steps,active_time,"4769.0",s,active_calories,"252",kcal,timestamp_16,"17824",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,
Data,4,monitoring,timestamp,"984761760",s,distance,"0.0",m,cycles,"0.0",cycles,active_time,"1659.0",s,active_calories,"127",kcal,duration_min,"1016",min,activity_type,"0",,,,,
Data,4,monitoring,timestamp,"984761760",s,distance,"2674.91",m,steps,"3015",steps,active_time,"4769.0",s,active_calories,"252",kcal,duration_min,"1016",min,activity_type,"6",,,,,
Data,4,monitoring,timestamp,"984761760",s,distance,"107.79",m,steps,"81",steps,active_time,"60.0",s,active_calories,"2",kcal,duration_min,"1016",min,activity_type,"1",,,,,
Definition,2,monitoring,timestamp_16,1,,vigorous_activity_minutes,1,,unknown,1,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"17824",s,vigorous_activity_minutes,"2",minutes,unknown,"23",,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp,"984761760",s,unknown,"20",,unknown,"23",,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"984761760",,unknown,"58",,unknown,"56",,,,,,,,,,,,,,,,,
